# MPIHandler:Power MPIHandler:pTmin0 ColourReconnector:ReconnectionProbability RemnantDecayer:colourDisrupt MPIHandler:InvRadius N
2.449154e-01 6.310369e+00 4.222160e-01 5.465421e-01 1.301334e+00 0043 
1.292019e-01 4.688055e+00 6.304402e-01 8.318474e-01 1.262787e+00 0044 
2.304087e-01 3.348891e+00 7.533560e-01 3.069107e-01 1.534464e+00 0045 
1.332012e-01 3.262268e+00 5.280751e-01 5.388803e-01 1.252154e+00 0046 
2.078635e-01 3.410491e+00 5.278820e-01 5.872582e-01 2.395668e+00 0047 
3.514504e-01 7.612311e+00 7.817454e-01 3.809707e-01 1.145436e+00 0048 
2.786959e-01 3.003345e+00 3.169543e-01 5.087434e-01 1.565620e+00 0049 
1.440721e-01 7.355327e+00 5.980565e-01 6.389760e-01 2.637315e+00 0050 
1.915520e-01 7.597365e+00 5.915100e-01 3.835030e-01 1.602071e+00 0051 
4.680972e-01 7.153204e+00 3.023975e-01 7.156177e-01 1.261209e+00 0052 
1.519921e-01 2.503372e+00 6.037094e-01 9.680629e-01 9.018670e-01 0053 
3.560145e-01 3.196998e+00 7.730985e-01 2.862538e-01 2.582019e+00 0054 
1.505358e-01 3.435384e+00 7.164171e-01 5.779580e-01 7.446081e-01 0055 
4.501080e-01 6.387458e+00 4.105214e-01 6.278481e-01 1.380587e+00 0056 
1.610272e-01 2.248379e+00 5.490974e-01 6.380329e-01 8.142465e-01 0057 
3.842221e-01 5.313828e+00 4.389150e-01 8.458595e-01 1.378151e+00 0058 
1.614348e-01 2.716713e+00 9.049865e-01 9.520385e-01 2.412042e+00 0059 
1.312941e-01 2.771499e+00 3.358131e-01 5.472297e-01 1.348104e+00 0060 
4.490391e-01 3.888862e+00 4.328643e-01 2.797032e-01 1.549575e+00 0061 
3.025271e-01 6.006741e+00 6.918137e-01 6.596310e-01 1.385751e+00 0062 
3.887944e-01 3.263715e+00 7.011848e-01 7.596322e-01 1.869622e+00 0063 
4.095476e-01 4.149147e+00 4.104394e-01 3.588863e-01 6.806858e-01 0064 
3.722720e-01 6.310741e+00 4.915353e-01 8.897797e-01 1.848791e+00 0065 
2.500690e-01 3.594102e+00 6.259996e-01 3.344343e-01 1.322373e+00 0066 
3.632384e-01 5.988460e+00 3.097745e-01 3.289150e-01 1.933659e+00 0067 
3.004843e-01 7.321424e+00 4.202513e-01 7.080077e-01 1.479923e+00 0068 
2.752151e-01 4.274075e+00 6.986215e-01 4.953274e-01 1.414995e+00 0069 
3.700032e-01 3.935890e+00 6.592372e-01 5.673379e-01 1.152487e+00 0070 
3.319043e-01 6.279590e+00 3.888736e-01 8.909093e-01 1.766110e+00 0071 
2.737987e-01 3.927452e+00 7.346777e-01 8.461619e-01 2.255632e+00 0072 
2.382180e-01 4.972392e+00 3.473272e-01 5.434059e-01 1.839415e+00 0073 
3.402041e-01 3.669432e+00 5.517511e-01 4.683555e-01 1.536902e+00 0074 
1.372980e-01 7.456370e+00 4.912536e-01 8.123460e-01 1.100725e+00 0075 
1.806671e-01 5.043659e+00 9.015453e-01 7.157582e-01 1.020486e+00 0076 
3.945095e-01 2.830119e+00 9.132761e-01 3.266807e-01 1.288731e+00 0077 
3.858265e-01 6.647613e+00 3.122869e-01 8.495657e-01 1.681101e+00 0078 
3.431365e-01 2.903068e+00 7.023315e-01 4.283861e-01 2.020849e+00 0079 
4.683792e-01 2.226721e+00 8.736462e-01 9.163583e-01 2.523051e+00 0080 
3.948386e-01 7.576537e+00 4.668540e-01 4.769085e-01 1.465081e+00 0081 
2.542757e-01 3.201277e+00 5.611553e-01 4.035504e-01 1.711798e+00 0082 
4.371201e-01 5.227556e+00 3.508721e-01 8.889076e-01 9.845194e-01 0083 
4.127541e-01 3.464217e+00 3.519943e-01 2.974298e-01 7.912888e-01 0084 
2.846610e-01 5.594473e+00 5.799577e-01 3.303650e-01 1.292606e+00 0085 
3.134184e-01 2.796760e+00 3.551384e-01 6.440363e-01 1.322511e+00 0086 
3.594900e-01 4.367973e+00 4.460275e-01 7.724403e-01 1.899922e+00 0087 
1.436934e-01 7.010182e+00 4.112282e-01 9.632949e-01 1.491843e+00 0088 
3.975182e-01 4.311209e+00 5.405257e-01 6.945001e-01 1.346117e+00 0089 
1.212921e-01 4.385038e+00 7.071570e-01 7.706162e-01 2.142500e+00 0090 
3.910058e-01 5.992420e+00 3.655858e-01 9.901554e-01 2.450430e+00 0091 
1.785857e-01 5.561756e+00 3.069568e-01 6.463761e-01 1.316099e+00 0092 
1.534476e-01 2.194049e+00 9.862026e-01 7.143191e-01 1.776380e+00 0093 
1.257668e-01 2.036100e+00 9.436237e-01 3.667903e-01 2.405108e+00 0094 
4.527221e-01 6.327821e+00 9.610658e-01 4.314768e-01 1.918153e+00 0095 
2.178949e-01 6.477599e+00 9.033298e-01 5.371347e-01 7.915536e-01 0096 
1.856370e-01 2.981882e+00 5.353455e-01 6.509330e-01 7.472623e-01 0097 
3.422748e-01 7.364104e+00 7.876688e-01 5.847119e-01 1.178616e+00 0098 
3.122882e-01 2.159091e+00 3.262387e-01 7.280478e-01 1.285994e+00 0099 
